CART&Value&IntruDTree&Value
L7_PROTO&0.121&OUT_BYTES&0.213
OUT_BYTES&0.106&TCP_WIN_MAX_IN&0.158
TCP_FLAGS&0.1&L7_PROTO&0.145
TCP_WIN_MAX_IN&0.089&TCP_FLAGS&0.105
L4_DST_PORT&0.078&IN_BYTES&0.105
IPV4_SRC_ADDR_EX&0.075&IPV4_SRC_ADDR_EX&0.076
IN_BYTES&0.055&SRC_TO_DST_SECOND_BYTES&0.067
SHORTEST_FLOW_PKT&0.053&L4_DST_PORT&0.065
L4_SRC_PORT&0.05&MIN_TTL&0.028
DST_TO_SRC_AVG_THROUGHPUT&0.045&IPV4_DST_ADDR_EX&0.022
SRC_TO_DST_AVG_THROUGHPUT&0.033&CLIENT_TCP_FLAGS&0.013
NUM_PKTS_UP_TO_128_BYTES&0.029&MAX_TTL&0.002
